ta,rh,v,met,clo,thermal_sensation
28.8,61.3,0.42,1.1,0.63,0
29.1,58.9,0.53,1.1,0.63,-1
29.5,59.5,1.06,1.1,0.63,1
29.2,59.1,0.22,1.2,0.52,0
29.0,59.0,0.21,1.2,0.42,0
29.2,58.7,0.29,1.2,0.63,1
29.1,60.5,0.64,1.1,0.42,1
28.9,60.9,0.28,1.1,0.42,1
29.0,61.0,0.07,1.2,0.63,-1
28.8,61.2,0.8,1.1,0.63,0
29.0,61.5,0.14,1.1,0.49,0
28.5,63.7,0.33,1.3,0.64,1
28.2,63.1,0.26,1.1,0.55,1
29.9,56.5,0.07,1.9,0.48,2
30.1,55.6,0.05,1.9,0.42,1
30.1,55.2,0.2,1.9,0.42,1
30.0,56.7,0.05,1.9,0.42,0
29.8,56.9,0.22,1.9,0.52,0
28.7,57.0,0.19,1.1,0.63,0
31.2,51.6,0.23,1.6,0.49,0
30.2,54.5,0.1,1.7,0.42,-1
30.5,54.1,0.15,1.1,0.46,0
30.8,53.4,0.38,1.4,0.55,1
30.7,53.1,0.57,1.4,0.55,0
27.9,63.7,0.67,1.1,0.63,0
28.6,60.5,0.26,1.3,0.46,-1
29.2,58.4,0.29,2.1,0.48,-1
28.6,61.7,0.31,1.1,0.52,1
28.5,60.4,0.42,1.1,0.63,0
28.9,59.5,0.48,1.1,0.78,0
29.8,59.8,0.12,1.1,0.78,0
30.0,60.6,0.22,1.1,0.61,0
29.8,58.0,0.26,1.1,0.55,2
29.6,58.7,0.3,1.1,0.78,0
29.6,58.2,0.15,1.3,0.55,0
29.6,58.6,0.09,1.1,0.55,3
29.5,58.1,0.21,1.1,0.49,0
29.5,57.3,0.74,1.3,0.61,0
29.4,57.1,0.3,1.4,0.52,0
29.5,58.0,0.15,1.1,0.7,3
29.7,57.6,0.16,1.1,0.52,3
29.2,58.6,0.25,1.1,0.49,1
28.6,60.7,0.3,1.1,0.52,2
28.5,61.8,0.27,1.1,0.63,2
28.7,60.7,0.2,1.1,0.48,2
29.1,60.0,0.1,1.4,0.63,2
28.9,60.8,0.03,1.5,0.63,0
28.8,61.6,0.13,1.4,0.78,0
28.8,62.1,0.08,1.1,0.49,2
30.7,54.5,0.32,1.3,0.63,0
29.5,59.1,0.78,1.1,0.49,0
29.4,59.2,0.05,1.4,0.48,0
29.5,58.4,0.2,1.1,0.7,1
29.5,57.5,0.16,1.1,0.44,2
29.6,56.4,0.47,1.4,0.63,-2
29.7,56.9,0.49,1.3,0.44,0
29.5,57.5,0.21,1.1,0.55,1
29.6,59.8,1.13,1.1,0.63,2
29.5,60.2,0.78,1.1,0.46,0
29.3,59.7,0.22,1.3,0.48,0
29.3,59.7,0.27,1.1,0.44,1
28.8,58.6,0.45,1.2,0.64,0
28.8,59.0,0.22,1.1,0.78,1
28.8,57.9,0.42,1.1,0.67,-1
28.8,57.9,0.42,1.3,0.57,0
28.7,58.1,0.46,1.3,0.55,1
28.7,58.6,0.06,1.3,0.63,1
28.7,60.1,0.13,1.3,0.7,1
28.7,60.0,0.21,1.1,0.7,1
28.6,60.2,0.17,1.2,0.7,0
28.9,58.5,0.4,1.1,0.78,0
28.8,58.9,0.4,1.3,0.63,1
28.7,59.3,0.34,1.1,0.63,0
28.8,59.3,0.18,1.3,0.55,0
28.6,60.1,0.12,1.1,0.65,0
28.0,61.7,0.37,1.3,0.63,1
29.0,58.6,0.9,1.6,0.83,0
29.6,55.9,0.68,1.6,0.78,0
